j value

97	196	41	144	245	92	197	48	153	
4	113	224	77	188	45	160	17	131	
248	111	228	91	212	79	200	67	192	
63	188	59	188	63	192	67	200	79	
212	91	228	111	248	92	233	120	5	
117	6	153	1	148	41	192	85	236	
133	32	185	84	241	114	15	174	79	
210	115	22	187	64	229	140	53	224	
137	52	225	144	61	171	92	254	175	
98	23	206	104	254	183	114	43	230	
163	44	219	154	91	30	223	65	245	
188	129	72	17	220	118	65	14	221	
170	121	74	213	166	18	204	112	69	
181	81	44	184	135	100	67	32	255	
224	195	164	106	79	195	168	64	41	
250	227	141	122	105	15	185	170	157	
73	60	49	40	186	177	170	165	158	
47	239	238	235	220	215	218	74	77	
82	16	241	234	189	200	173	184	177	
33	46	20	180	104	121	113	134	157	
59	171	196	126	136	50	198	108	48	
2	35	70	218	253	34	150	173	21	
169	212	220	7	52	99	27	74	0	
51	100	151	25	80	120	1	58	54	
111	170	64	242	250	199	8	204	171	
87	156	136	15	181	113	188	5	145	
139	139	33	112	110	47	128	98	19	
106	191	114	203	38	175	10	20	115	
208	243	138	107	k value

58	65	183	108	
